// Dataset: giops_day,,,,,,
// Timestamp: 2021-02-01 12:00:00+00:00,,,,,,
Latitude,Longitude,Depth (m),Pressure,Salinity,Temperature,Sound Speed
44.67,-54.67,0.5,0.5,32.7,7.8,1478.8
44.67,-54.67,1.5,1.6,32.7,7.8,1478.8
44.67,-54.67,2.6,2.7,32.7,7.8,1478.8
44.67,-54.67,3.8,3.9,32.7,7.8,1478.8
44.67,-54.67,5.1,5.1,32.7,7.8,1478.8
44.67,-54.67,6.4,6.5,32.7,7.8,1478.9
44.67,-54.67,7.9,8,32.7,7.8,1479
44.67,-54.67,9.6,9.7,32.7,7.8,1479.1
44.67,-54.67,11.4,11.5,32.7,7.9,1479.4
44.67,-54.67,13.5,13.6,32.7,8,1479.9
44.67,-54.67,15.8,16,32.8,8.1,1480.5
44.67,-54.67,18.5,18.7,32.9,8.4,1481.7
44.67,-54.67,21.6,21.8,33.1,8.6,1482.7
44.67,-54.67,25.2,25.4,33.1,8.8,1483.5
44.67,-54.67,29.4,29.7,33.2,8.9,1484.2
44.67,-54.67,34.4,34.7,33.4,9.1,1485.2
44.67,-54.67,40.3,40.7,33.6,9.3,1486.3
44.67,-54.67,47.4,47.8,33.8,9.6,1487.5
44.67,-54.67,55.8,56.2,33.9,9.8,1488.8
44.67,-54.67,65.8,66.4,33.9,9.1,1486.2
44.67,-54.67,77.9,78.5,34,8.5,1484.3
44.67,-54.67,92.3,93.1,34.5,9.3,1488.4
44.67,-54.67,109.7,110.7,35,10.7,1494.1
44.67,-54.67,130.7,131.8,35.1,10.9,1495.5
44.67,-54.67,155.9,157.3,35.3,11.2,1497.1
44.67,-54.67,186.1,187.8,35.4,11,1496.9
44.67,-54.67,222.5,224.5,35.3,10.4,1495.4
44.67,-54.67,266,268.5,35.2,9.5,1492.7
44.67,-54.67,318.1,321.1,35.1,8.2,1488.6
44.67,-54.67,380.2,383.8,35,7.2,1485.9
44.67,-54.67,453.9,458.3,35,6.5,1484.1
44.67,-54.67,541.1,546.4,35,6,1483.6
44.67,-54.67,643.6,650,35,5.6,1483.7
44.67,-54.67,763.3,771.2,35,4.9,1482.9
44.67,-54.67,902.3,911.9,35,4.8,1485.1
44.67,-54.67,1062.4,1074.1,35,4.5,1486.5
44.67,-54.67,1245.3,1259.5,35,4.3,1488.6
44.67,-54.67,1452.2,1469.5,35,4.1,1491.4
44.67,-54.67,1684.3,1705.2,35,3.9,1494.4
44.67,-54.67,1941.9,1967.2,35,3.7,1497.7
