// Dataset: giops_day,,,,,,
// Timestamp: 2021-02-01 12:00:00+00:00,,,,,,
Latitude,Longitude,Depth (m),Pressure,Salinity,Temperature,Sound Speed
44.56,-56.2,0.5,0.5,32.9,5.4,1469.7
44.56,-56.2,1.5,1.6,32.9,5.4,1469.7
44.56,-56.2,2.6,2.7,32.9,5.4,1469.7
44.56,-56.2,3.8,3.8,32.9,5.4,1469.7
44.56,-56.2,5.1,5.1,32.9,5.4,1469.7
44.56,-56.2,6.4,6.5,32.9,5.4,1469.8
44.56,-56.2,7.9,8,32.9,5.4,1469.8
44.56,-56.2,9.6,9.7,32.9,5.4,1469.8
44.56,-56.2,11.4,11.5,32.9,5.4,1469.9
44.56,-56.2,13.5,13.6,32.9,5.4,1470
44.56,-56.2,15.8,15.9,33,5.4,1470
44.56,-56.2,18.5,18.7,33,5.4,1470.1
44.56,-56.2,21.6,21.8,33,5.4,1470.2
44.56,-56.2,25.2,25.4,33,5.4,1470.3
44.56,-56.2,29.4,29.7,33,5.4,1470.2
44.56,-56.2,34.4,34.7,33,5.2,1469.8
44.56,-56.2,40.3,40.7,33,5,1469.1
44.56,-56.2,47.4,47.8,33,4.9,1468.5
44.56,-56.2,55.8,56.2,33,4.6,1467.5
44.56,-56.2,65.8,66.4,33,4.5,1467.3
44.56,-56.2,77.9,78.5,33,4.4,1466.8
44.56,-56.2,92.3,93.1,33.1,3.8,1464.8
44.56,-56.2,109.7,110.7,33.6,5.1,1471.2
44.56,-56.2,130.7,131.8,34.2,7.4,1481.3
44.56,-56.2,155.9,157.2,34.7,9.2,1489.2
44.56,-56.2,186.1,187.8,35.1,10,1493.2
44.56,-56.2,222.5,224.5,35.3,9.9,1493.7
44.56,-56.2,266,268.5,35.2,8.9,1490.6
44.56,-56.2,318.1,321.1,35.1,7.7,1486.6
44.56,-56.2,380.2,383.8,35,6.7,1483.9
44.56,-56.2,453.9,458.3,35,5.8,1481.4
44.56,-56.2,541.1,546.4,35,5.3,1480.9
44.56,-56.2,643.6,650,35,5.1,1481.9
44.56,-56.2,763.3,771.2,35,4.7,1482.2
44.56,-56.2,902.3,911.9,35,4.7,1484.4
44.56,-56.2,1062.4,1074.1,35,4.4,1486
44.56,-56.2,1245.3,1259.5,35,4.3,1488.5
44.56,-56.2,1452.2,1469.5,35,4,1491.1
44.56,-56.2,1684.3,1705.2,35,3.8,1494.1
44.56,-56.2,1941.9,1967.2,34.9,3.6,1497.5
44.56,-56.2,2225.1,2255.5,34.9,3.3,1501.1
