// Dataset: giops_day,,,,,,
// Timestamp: 2021-02-01 12:00:00+00:00,,,,,,
Latitude,Longitude,Depth (m),Pressure,Salinity,Temperature,Sound Speed
44.85,-54.6,0.5,0.5,31.6,6,1470.4
44.85,-54.6,1.5,1.6,31.6,6,1470.4
44.85,-54.6,2.6,2.7,31.6,6,1470.4
44.85,-54.6,3.8,3.8,31.6,6,1470.5
44.85,-54.6,5.1,5.1,31.6,6,1470.5
44.85,-54.6,6.4,6.5,31.6,6,1470.5
44.85,-54.6,7.9,8,31.6,6,1470.5
44.85,-54.6,9.6,9.7,31.6,6,1470.6
44.85,-54.6,11.4,11.5,31.6,6,1470.7
44.85,-54.6,13.5,13.6,31.6,6.1,1471.1
44.85,-54.6,15.8,15.9,31.7,6.3,1471.9
44.85,-54.6,18.5,18.7,31.8,6.5,1472.9
44.85,-54.6,21.6,21.8,31.9,6.8,1474.4
44.85,-54.6,25.2,25.4,32,7.1,1475.7
44.85,-54.6,29.4,29.7,32.2,7.3,1476.9
44.85,-54.6,34.4,34.7,32.3,7.5,1477.9
44.85,-54.6,40.3,40.7,32.5,7.6,1478.5
44.85,-54.6,47.4,47.8,32.8,7.6,1478.8
44.85,-54.6,55.8,56.2,33.2,7.8,1480.4
44.85,-54.6,65.8,66.4,33.4,6.3,1475
44.85,-54.6,77.9,78.5,33.6,5.7,1473.2
44.85,-54.6,92.3,93.1,33.9,6.4,1476.4
44.85,-54.6,109.7,110.7,34.3,7.9,1483.3
44.85,-54.6,130.7,131.8,34.7,8.8,1487.1
44.85,-54.6,155.9,157.2,35.2,10.4,1493.9
44.85,-54.6,186.1,187.8,35.3,10.3,1494.2
44.85,-54.6,222.5,224.5,35.3,9.5,1492.2
44.85,-54.6,266,268.5,35.1,8.3,1488.1
44.85,-54.6,318.1,321.1,35,7.2,1484.9
44.85,-54.6,380.2,383.8,35,6.5,1483
44.85,-54.6,453.9,458.3,35,6,1482.4
44.85,-54.6,541.1,546.4,35,5.8,1482.9
44.85,-54.6,643.6,650,35,5.5,1483.6
44.85,-54.6,763.3,771.2,35,4.9,1483.1
44.85,-54.6,902.3,912,35,4.9,1485.3
44.85,-54.6,1062.4,1074.2,35,4.5,1486.6
44.85,-54.6,1245.3,1259.5,35,4.3,1488.8
44.85,-54.6,1452.2,1469.6,35,4.2,1491.6
44.85,-54.6,1684.3,1705.2,35,3.9,1494.5
